File	/Users/minjaesong/Downloads/MONOTONE-master/NO_ROADS.MON
Length	34 patterns
voices	4
Order list:
02 00 01 03 04 05 06 07 08 09 0A 0B 0C 0D 0E 0F 10 11 12 13 14 15 16 17 18 19 1A 1B 1C 1D 1E 1E 1E 1F 

Order 02
rw | nnn edd | nnn edd | nnn edd | nnn edd
Order 1E
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | G-2 F02 | C-3 F02 | === 000 | === 000
01 | ... 000 | ... 000 | ... 000 | ... 000
02 | ... 000 | ... 000 | ... 000 | ... 000
03 | === 000 | === 000 | ... 000 | ... 000
04 | G-2 000 | C-3 000 | ... 000 | ... 000
05 | ... 000 | ... 000 | ... 000 | ... 000
06 | ... 000 | ... 000 | ... 000 | ... 000
07 | === 000 | === 000 | ... 000 | ... 000
08 | G-2 000 | C-3 000 | ... 000 | ... 000
09 | === 000 | === 000 | ... 000 | ... 000
0A | G-2 000 | C-3 000 | ... 000 | ... 000
0B | === 000 | === 000 | ... 000 | ... 000
0C | G-2 000 | C-3 000 | ... 000 | ... 000
0D | ... 000 | ... 000 | ... 000 | ... 000
0E | ... 000 | ... 000 | ... 000 | ... 000
0F | === 000 | === 000 | ... 000 | ... 000
10 | G-2 000 | C-3 000 | ... 000 | ... 000
11 | ... 000 | ... 000 | ... 000 | ... 000
12 | ... 000 | ... 000 | ... 000 | ... 000
13 | === 000 | === 000 | ... 000 | ... 000
14 | G-2 000 | C-3 000 | ... 000 | ... 000
15 | ... 000 | ... 000 | ... 000 | ... 000
16 | ... 000 | ... 000 | ... 000 | ... 000
17 | === 000 | === 000 | ... 000 | ... 000
18 | G-2 000 | C-3 000 | ... 000 | ... 000
19 | ... 000 | ... 000 | ... 000 | ... 000
1A | ... 000 | ... 000 | ... 000 | ... 000
1B | === 000 | === 000 | ... 000 | ... 000
1C | G-2 000 | C-3 000 | ... 000 | ... 000
1D | === 000 | === 000 | ... 000 | ... 000
1E | G-2 000 | C-3 000 | ... 000 | ... 000
1F | === 000 | === 000 | ... 000 | ... 000
20 | G-2 000 | C-3 000 | ... 000 | ... 000
21 | ... 000 | ... 000 | ... 000 | ... 000
22 | ... 000 | ... 000 | ... 000 | ... 000
23 | === 000 | === 000 | ... 000 | ... 000
24 | G-2 000 | C-3 000 | ... 000 | ... 000
25 | ... 000 | ... 000 | ... 000 | ... 000
26 | ... 000 | ... 000 | ... 000 | ... 000
27 | === 000 | === 000 | ... 000 | ... 000
28 | G-2 000 | C-3 000 | ... 000 | ... 000
29 | === 000 | === 000 | ... 000 | ... 000
2A | G-2 000 | C-3 000 | ... 000 | ... 000
2B | === 000 | === 000 | ... 000 | ... 000
2C | G-2 000 | C-3 000 | ... 000 | ... 000
2D | ... 000 | ... 000 | ... 000 | ... 000
2E | ... 000 | ... 000 | ... 000 | ... 000
2F | === 000 | === 000 | ... 000 | ... 000
30 | G-2 000 | C-3 000 | ... 000 | ... 000
31 | ... 000 | ... 000 | ... 000 | ... 000
32 | ... 000 | ... 000 | ... 000 | ... 000
33 | === 000 | === 000 | ... 000 | ... 000
34 | G-2 000 | C-3 000 | ... 000 | ... 000
35 | ... 000 | ... 000 | ... 000 | ... 000
36 | ... 000 | ... 000 | ... 000 | ... 000
37 | === 000 | === 000 | ... 000 | ... 000
38 | G-2 000 | C-3 000 | ... 000 | ... 000
39 | === 000 | === 000 | ... 000 | ... 000
3A | G-2 000 | C-3 000 | ... 000 | ... 000
3B | === 000 | === 000 | ... 000 | ... 000
3C | G-2 000 | C-3 000 | ... 000 | ... 000
3D | === 000 | === 000 | ... 000 | ... 000
3E | G-2 000 | C-3 000 | ... 000 | ... 000
3F | === 000 | === 000 | ... 000 | ... 000

Order 1F
rw | nnn edd | nnn edd | nnn edd | nnn edd

00 | G-2 F02 | C-3 F02 | ... 000 | ... 000
01 | ... 000 | ... 000 | ... 000 | ... 000
02 | ... 000 | ... 000 | ... 000 | ... 000
03 | === 000 | === 000 | ... 000 | ... 000
04 | G-2 000 | C-3 000 | ... 000 | ... 000
05 | ... 000 | ... 000 | ... 000 | ... 000
06 | ... 000 | ... 000 | ... 000 | ... 000
07 | === 000 | === 000 | ... 000 | ... 000
08 | G-2 000 | C-3 000 | ... 000 | ... 000
09 | === 000 | === 000 | ... 000 | ... 000
0A | G-2 000 | C-3 000 | ... 000 | ... 000
0B | === 000 | === 000 | ... 000 | ... 000
0C | G-2 000 | C-3 000 | ... 000 | ... 000
0D | ... 000 | ... 000 | ... 000 | ... 000
0E | ... 000 | ... 000 | ... 000 | ... 000
0F | === 000 | === 000 | ... 000 | ... 000
10 | G-2 000 | C-3 000 | ... 000 | ... 000
11 | ... 000 | ... 000 | ... 000 | ... 000
12 | ... 000 | ... 000 | ... 000 | ... 000
13 | === 000 | === 000 | ... 000 | ... 000
14 | G-2 000 | C-3 000 | ... 000 | ... 000
15 | ... 000 | ... 000 | ... 000 | ... 000
16 | ... 000 | ... 000 | ... 000 | ... 000
17 | === 000 | === 000 | ... 000 | ... 000
18 | G-2 000 | C-3 000 | ... 000 | ... 000
19 | ... 000 | ... 000 | ... 000 | ... 000
1A | ... 000 | ... 000 | ... 000 | ... 000
1B | === 000 | === 000 | ... 000 | ... 000
1C | G-2 000 | C-3 000 | ... 000 | ... 000
1D | === 000 | === 000 | ... 000 | ... 000
1E | G-2 000 | C-3 000 | ... 000 | ... 000
1F | === 000 | === 000 | ... 000 | ... 000
20 | G-2 000 | C-3 000 | ... 000 | ... 000
21 | ... 000 | ... 000 | ... 000 | ... 000
22 | ... 000 | ... 000 | ... 000 | ... 000
23 | === 000 | === 000 | ... 000 | ... 000
24 | G-2 000 | C-3 000 | ... 000 | ... 000
25 | ... 000 | ... 000 | ... 000 | ... 000
26 | ... 000 | ... 000 | ... 000 | ... 000
27 | === 000 | === 000 | ... 000 | ... 000
28 | G-2 000 | C-3 000 | ... 000 | ... 000
29 | === 000 | === 000 | ... 000 | ... 000
2A | G-2 000 | C-3 000 | ... 000 | ... 000
2B | === 000 | === 000 | ... 000 | ... 000
2C | G-2 000 | C-3 000 | ... 000 | ... 000
2D | ... 000 | ... 000 | ... 000 | ... 000
2E | ... 000 | ... 000 | ... 000 | ... 000
2F | === 000 | === 000 | ... 000 | ... 000
30 | C-4 000 | C-2 000 | ... 000 | ... 000
31 | B-3 000 | B-1 000 | ... 000 | ... 000
32 | A#3 000 | A#1 000 | ... 000 | ... 000
33 | B-3 000 | B-1 000 | ... 000 | ... 000
34 | A#3 000 | A#1 000 | ... 000 | ... 000
35 | A-3 000 | B-1 000 | ... 000 | ... 000
36 | G-3 000 | A-1 000 | ... 000 | ... 000
37 | G#3 000 | G-1 000 | ... 000 | ... 000
38 | F#3 000 | A-1 000 | ... 000 | ... 000
39 | F-3 000 | F#1 000 | ... 000 | ... 000
3A | E-3 000 | G-1 000 | ... 000 | ... 000
3B | F-3 000 | D-1 000 | ... 000 | ... 000
3C | E-3 000 | F-1 000 | ... 000 | ... 000
3D | D-3 000 | D#1 000 | ... 000 | ... 000
3E | C#3 000 | C-1 000 | ... 000 | ... 000
3F | C-3 000 | C#1 B03 | ... 000 | ... 000

